Joint_anatomical_info,Value
---------------------,-----
subject_id,empty
---------------------,-----
lHJ_bone_minimum_gap,empty
lHJ_ac_bone_coverage_area,empty
lHJ_ac_average_thickness_with_gap,empty
lHJ_ac_average_thickness_without_gap,empty
lHJ_fc_bone_coverage_area,empty
lHJ_fc_average_thickness_with_gap,empty
lHJ_fc_average_thickness_without_gap,empty
lHJ_w_gap_minimum_distance,empty
rHJ_ac_bone_coverage_area,empty
rHJ_ac_average_thickness_with_gap,empty
rHJ_ac_average_thickness_without_gap,empty
rHJ_fc_bone_coverage_area,empty
rHJ_fc_average_thickness_with_gap,empty
rHJ_fc_average_thickness_without_gap,empty
rHJ_w_gap_minimum_distance,empty
lSJ_primary_bone_coverage_area,empty
lSJ_secondary_bone_coverage_area,empty
lSJ_average_thickness,empty
rSJ_primary_bone_coverage_area,empty
rSJ_secondary_bone_coverage_area,empty
rSJ_average_thickness,empty
PJ_primary_bone_coverage_area,empty
PJ_secondary_bone_coverage_area,empty
PJ_average_thickness,empty
