Joint_anatomical_info,Value
---------------------,-----
subject_id,m2
---------------------,-----
lHJ_bone_minimum_gap,1.38
lHJ_ac_bone_coverage_area,2419.93
lHJ_ac_average_thickness_with_gap,1.24
lHJ_ac_average_thickness_without_gap,1.38
lHJ_fc_bone_coverage_area,4876.69
lHJ_fc_average_thickness_with_gap,1.74
lHJ_fc_average_thickness_without_gap,1.94
lHJ_w_gap_minimum_distance,0.068
rHJ_ac_bone_coverage_area,2611.43
rHJ_ac_average_thickness_with_gap,1.43
rHJ_ac_average_thickness_without_gap,1.58
rHJ_fc_bone_coverage_area,4740.2
rHJ_fc_average_thickness_with_gap,1.56
rHJ_fc_average_thickness_without_gap,1.73
rHJ_w_gap_minimum_distance,0.092
lSJ_primary_bone_coverage_area,1816.07
lSJ_secondary_bone_coverage_area,1919.72
lSJ_average_thickness,5.11
rSJ_primary_bone_coverage_area,2043.78
rSJ_secondary_bone_coverage_area,2147.17
rSJ_average_thickness,5.01
PJ_primary_bone_coverage_area,301.79
PJ_secondary_bone_coverage_area,338.92
PJ_average_thickness,6.7
