,Bone_anatomical_info,m3
0,The Interhip Separation,167.94
1,Height of the Left Ilium (L_IH),147.0
2,Height of the Right Ilium (L_IH),143.9
3,Width of the Left Ilium (L_IW),36.75
4,Width of the Right Ilium (R_IW),47.76
5,Width of the pelvis (PW),253.5
6,The Left Hip Joint Center (L_HJC),[  89.5  -124.73 -831.56]
7,The Right Hip Joint Center (R_HJC),[ -78.27 -122.37 -838.85]
8,The Left Simplified Radius (L_SR),28.25
9,The Right Simplified Radius (R_SR),26.3
10,The Left Mean Actual Radius (L_M_AR),25.0
11,The Right Mean Actual Radius (R_M_AR),24.0
12,The Left Femur Distal Mid-point,[[ 122.78837959 -124.69547376 -972.29998779]]
13,The Right Femur Distal Mid-point,[[-109.61763339 -111.86372101 -972.29998779]]
14,The Visible Left Femur Length (L_VFL),166.63
15,The Visible Right Femur Length (R_VFL),160.76
16,The Left neck-shaft angle (L_NSA),125.0
17,The Right neck-shaft angle (R_NSA),123.0
