Joint_anatomical_info,Value
---------------------,-----
subject_id,m7
---------------------,-----
lHJ_bone_minimum_gap,2.27
lHJ_ac_bone_coverage_area,2165.2
lHJ_ac_average_thickness_with_gap,1.42
lHJ_ac_average_thickness_without_gap,1.58
lHJ_fc_bone_coverage_area,5008.32
lHJ_fc_average_thickness_with_gap,1.94
lHJ_fc_average_thickness_without_gap,2.15
lHJ_w_gap_minimum_distance,0.139
rHJ_ac_bone_coverage_area,2231.66
rHJ_ac_average_thickness_with_gap,1.39
rHJ_ac_average_thickness_without_gap,1.54
rHJ_fc_bone_coverage_area,4209.64
rHJ_fc_average_thickness_with_gap,1.42
rHJ_fc_average_thickness_without_gap,1.58
rHJ_w_gap_minimum_distance,0.092
lSJ_primary_bone_coverage_area,2136.75
lSJ_secondary_bone_coverage_area,2221.86
lSJ_average_thickness,5.86
rSJ_primary_bone_coverage_area,1960.11
rSJ_secondary_bone_coverage_area,2051.07
rSJ_average_thickness,5.91
PJ_primary_bone_coverage_area,352.19
PJ_secondary_bone_coverage_area,369.18
PJ_average_thickness,6.67
